BASIN,y1,y2,ychange,axis,lsr_ax,dist_cent_ax,sorensen_ax
JON,2007,2015,8,TMA,-1.9560711113919047,1.4431307882616815,0.13617659685297648
JON,2007,2015,8,TDR,-2.4237505918887168,1.5198989479812202,0.10085236819980123
JON,2007,2015,8,sg_rich,-1.4312022623028513,1.4317781517869939,0.17797889252306343
JON,2007,2016,9,TT,3.803898903498036,2.9305773914529367,0.019566690798067797
JON,2007,2016,9,HW,4.243385640582008,3.234096868950619,0.01278232811863558
JON,2007,2016,9,SF,5.087750924265644,2.7851646520006432,0.01009671670686078
JON,2007,2016,9,TMA,2.0145920312620182,3.0672958428403243,0.0702112533225729
JON,2007,2016,9,TDR,1.0429773687761557,2.5420121522078167,0.14542220791419186
JON,2007,2016,9,sg_rich,3.3160973462312127,2.9514327611570046,0.023454840699704698
JON,2007,2017,10,TT,4.662921253346142,2.643500564528194,0.011263210698681454
JON,2007,2017,10,HW,3.389435820133257,2.8778919386905706,0.02958617045598495
JON,2007,2017,10,SF,5.72395128897997,2.590134314178654,0.006405521901951719
JON,2007,2017,10,TMA,2.5021146441576394,2.8845942454357614,0.06761708837961541
JON,2007,2017,10,TDR,2.792366922193247,2.927532968903487,0.0521407363989816
JON,2007,2017,10,sg_rich,4.1817509508083175,2.6981077288617823,0.013553224879479919
JON,2007,2018,11,TT,3.2524638302245124,2.801486254370256,0.020244080820970803
JON,2007,2018,11,HW,2.0504143394789804,2.998164350372842,0.039516084488544184
JON,2007,2018,11,SF,4.695855807571736,2.653455336325421,0.015660225814288217
JON,2007,2018,11,TMA,2.0920019542460477,3.1418008739090797,0.04415912566063403
JON,2007,2018,11,TDR,1.2014525717672204,3.222372012426017,0.08073849086013828
JON,2007,2018,11,sg_rich,2.9115977516087095,2.9531966844727537,0.022339187000599323
JON,2007,2019,12,TT,3.2358381861589383,2.49165389340764,0.028483293553817485
JON,2007,2019,12,HW,1.7969605323336755,3.190139862547415,0.014777543634601714
JON,2007,2019,12,SF,3.73482645682338,2.79448254962329,0.014078264490056037
JON,2007,2019,12,TMA,0.9654041507936552,3.1706781664868227,0.030622129967883292
JON,2007,2019,12,TDR,0.7432675476094747,3.275902625227994,0.0409975260721562
JON,2007,2019,12,sg_rich,2.027454825609797,2.9110343890171455,0.018840537969781038
JON,2007,2021,14,TT,6.234677560800769,3.286737175250099,0.002326560733563704
JON,2007,2021,14,HW,3.468742277352068,3.7222617943500755,5.338306246407014e-4
JON,2007,2021,14,SF,5.271323929255336,4.008016486325306,5.436758919822352e-4
JON,2007,2021,14,TMA,2.911067383616052,4.027899275260402,0.0013027556632307878
JON,2007,2021,14,TDR,2.3102311134524998,3.7503947611037627,0.005183492545086613
JON,2007,2021,14,sg_rich,5.0122989436005545,3.893256410257332,0.0013752088380853506
JON,2007,2022,15,TT,6.461167866863828,3.0400320109361947,0.0026905693847836935
JON,2007,2022,15,HW,3.902102063547206,3.310730228896134,0.006922179335610178
JON,2007,2022,15,SF,5.149587498334894,3.8659557056832408,0.0023275720761090483
JON,2007,2022,15,TMA,3.453898627691711,3.7235532006332686,0.009820802050075359
JON,2007,2022,15,TDR,2.8293463666403196,3.43768609159514,0.015644555837754027
JON,2007,2022,15,sg_rich,5.42457209292193,3.6917839191839095,0.0023744742788504823
JON,2007,2023,16,TT,4.224832170802528,3.2117697141475223,0.02713180874824519
JON,2007,2023,16,HW,1.2836499549493834,3.031482636563961,0.08628706562104163
JON,2007,2023,16,SF,2.1986562260887013,3.6045140345066478,0.04793450798902349
JON,2007,2023,16,TMA,2.022059390259054,3.9450459070878994,0.05500942710743987
JON,2007,2023,16,TDR,2.690979628518157,3.8018200846776535,0.02833129294797284
JON,2007,2023,16,sg_rich,3.1296420744135873,3.841026620584698,0.023256042833375262
JON,2008,2009,1,TT,-2.916412771624492,1.4776064523002947,0.08133064685469553
JON,2008,2009,1,HW,-2.2706888717164593,1.448149069821194,0.1444513165448311
JON,2008,2009,1,SF,-2.8688552239171385,0.5758187156049442,0.08301838351311609
JON,2008,2009,1,TMA,-3.0141915129628716,1.5250598962825697,0.0709675969631519
JON,2008,2009,1,TDR,-0.6605263337984945,1.4292678152926634,0.464767857215236
JON,2008,2009,1,sg_rich,-3.317548750656406,1.4670205143695505,0.060586618156117676
JON,2008,2010,2,TT,-3.237443355164383,0.6583070640958202,0.07372097841422627
JON,2008,2010,2,HW,-2.643735809019147,0.5257097046438138,0.12854608490746713
JON,2008,2010,2,SF,-3.617722430214025,0.5883330421966452,0.051557826097180855
JON,2008,2010,2,TMA,-3.280782624554233,0.748257921680468,0.07061447361916127
JON,2008,2010,2,TDR,-2.035784902348214,0.6113411802552513,0.22232277997615013
JON,2008,2010,2,sg_rich,-3.6845693008696725,0.7046014430336066,0.04824059251836368
JON,2008,2011,3,TT,-0.48056459162304216,1.2885846017611255,0.49447548019792414
JON,2008,2011,3,HW,-0.23247689417028924,1.1961909254073464,0.4744189674195152
JON,2008,2011,3,SF,-0.9347649907389451,0.4834582652229615,0.40959381997366845
JON,2008,2011,3,TMA,-1.6419304624502178,1.3039563927975044,0.27215831398065504
JON,2008,2011,3,TDR,-0.7590588471603393,1.126769319934107,0.4412901502763594
JON,2008,2011,3,sg_rich,-1.3198380775984477,1.229631131839413,0.31822450226665416
JON,2008,2012,4,TT,0.5901394693822954,1.6736764035005047,0.30270253772584155
JON,2008,2012,4,HW,1.2249747238952102,1.689406751624913,0.23198582341920423
JON,2008,2012,4,SF,0.6247026157542693,0.9520864418780085,0.2791506377829992
JON,2008,2012,4,TMA,-0.7485346957695309,1.796632153355717,0.28042076945093386
JON,2008,2012,4,TDR,-0.43669571481881664,1.4796328090439108,0.3347773390764101
JON,2008,2012,4,sg_rich,-0.1648536455968624,1.6765957027412133,0.2749680254892512
JON,2008,2013,5,TT,0.4624033876393988,1.664606384987697,0.2401528540486411
JON,2008,2013,5,HW,0.6629829048397062,1.6799389109934817,0.18767326339220575
JON,2008,2013,5,SF,0.6165523342267315,0.9572659100295813,0.28463211894275714
JON,2008,2013,5,TMA,-1.5747489596490196,1.7252544732784287,0.18469250374976975
JON,2008,2013,5,TDR,-0.8854322823947944,1.517149601659331,0.2275744806924283
JON,2008,2013,5,sg_rich,-0.3841982054315052,1.6864205825321148,0.20290860999375737
JON,2008,2014,6,TT,-3.136633454535521,2.046752398058635,0.0693008244192373
JON,2008,2014,6,HW,-2.2976431619902784,2.0101916712441006,0.1374266188590054
JON,2008,2014,6,SF,-2.7308004293476746,0.7125697039380913,0.1005495881313225
JON,2008,2014,6,TMA,-3.7858761660000297,2.089918365786083,0.03971223491964372
JON,2008,2014,6,TDR,-1.489987733724234,1.9102233446521395,0.2734292711032562
JON,2008,2014,6,sg_rich,-3.7312695486005394,2.0777625859021605,0.04125937618868583
JON,2008,2015,7,TT,-3.513885224622293,2.3949205537244524,0.04587977872075349
JON,2008,2015,7,HW,-2.5128926735381567,2.3696344303880177,0.11282007429422031
JON,2008,2015,7,SF,-2.575429541272354,0.9752978472755314,0.10484258835484297
JON,2008,2015,7,TMA,-4.099888304764398,2.484986247704451,0.021441258995267286
JON,2008,2015,7,TDR,-3.1239398344800704,2.34955404600919,0.04912670549203581
JON,2008,2015,7,sg_rich,-3.9801300452819275,2.3618430256387972,0.031854638072519
JON,2008,2016,8,TT,1.536243467558699,3.5936464445344214,0.06639374996575463
JON,2008,2016,8,HW,2.573290485273943,3.7356019720880815,0.03896760788437297
JON,2008,2016,8,SF,2.994015687046294,2.6434134794536006,0.06266375567164792
JON,2008,2016,8,TMA,-0.12922516211047483,3.686207710576621,0.10332496376353476
JON,2008,2016,8,TDR,0.3427881261848021,3.2547123048367985,0.10221686564759037
JON,2008,2016,8,sg_rich,0.7671695632521361,3.419160738062506,0.0794981332697628
JON,2008,2017,9,TT,2.395265817406804,3.3411371290180143,0.05994822701946541
JON,2008,2017,9,HW,1.7193406648251919,3.516616663857638,0.0797916251625954
JON,2008,2017,9,SF,3.6302160517606206,2.3749201661675836,0.04419886816411897
JON,2008,2017,9,TMA,0.3582974507851463,3.4784477091641617,0.18922697803627012
JON,2008,2017,9,TDR,2.0921776796018934,3.422301043355383,0.06212346326237772
JON,2008,2017,9,sg_rich,1.6328231678292406,3.1517332548981107,0.0914590795637998
JON,2008,2018,10,TT,0.9848083942851747,3.4926740301206523,0.07956040002696983
JON,2008,2018,10,HW,0.38031918417091504,3.6598652856486087,0.07767470698321541
JON,2008,2018,10,SF,2.6021205703523855,2.41389039532767,0.1008271225084403
JON,2008,2018,10,TMA,-0.051815239126445325,3.7161099829104876,0.11550773988402552
JON,2008,2018,10,TDR,0.5012633291758668,3.672872221882928,0.0794864924915203
JON,2008,2018,10,sg_rich,0.36266996862963286,3.370575568208167,0.09443295465504818
JON,2008,2019,11,TT,0.9681827502196009,3.3239059904692225,0.09001259684306455
JON,2008,2019,11,HW,0.12686537702561027,3.7673795653471447,0.04928778340386698
JON,2008,2019,11,SF,1.6410912196040301,2.641932712151531,0.08608957236423352
JON,2008,2019,11,TMA,-1.178413042578838,3.7710478996302403,0.03641455691879092
JON,2008,2019,11,TDR,0.04307830501812094,3.7512843711821664,0.03313577168775503
JON,2008,2019,11,sg_rich,-0.5214729573692792,3.3655819685419655,0.049165459636979686
JON,2008,2021,13,TT,3.9670221248614315,3.5645281698764864,0.0143227366700626
JON,2008,2021,13,HW,1.798647122044003,3.9518964226558198,0.012180879005900643
JON,2008,2021,13,SF,3.1775886920359864,3.611530756199613,0.009742569260212462
JON,2008,2021,13,TMA,0.767250190243559,4.136521617962243,0.026038171645010426
JON,2008,2021,13,TDR,1.6100418708611461,3.9166989561615604,0.02321343854088095
JON,2008,2021,13,sg_rich,2.4633711606214783,3.8373857442413395,0.01765490047188822
JON,2008,2022,14,TT,4.193512430924491,3.138772542681687,0.024954564015898312
JON,2008,2022,14,HW,2.2320069082391405,3.414785177278469,0.031304538500251375
JON,2008,2022,14,SF,3.055852261115544,3.4465514119078033,0.02793971949131049
JON,2008,2022,14,TMA,1.310081434319218,3.697733704515759,0.06395137783222757
JON,2008,2022,14,TDR,2.1291571240489664,3.4616049299222373,0.03177941706574313
JON,2008,2022,14,sg_rich,2.875644309942854,3.5150053936269545,0.03161266720088352
JON,2008,2023,15,TT,1.95717673486319,2.4932297945163695,0.1428114876449046
JON,2008,2023,15,HW,-0.386445200358682,2.393386158414271,0.1435329687849547
JON,2008,2023,15,SF,0.10492098886935135,3.199672640313208,0.1346243448900577
JON,2008,2023,15,TMA,-0.1217578031134389,3.2358755047964753,0.12185012145252581
JON,2008,2023,15,TDR,1.9907903859268032,3.1667513205955222,0.07993688247169771
JON,2008,2023,15,sg_rich,0.5807142914345109,3.019873370374586,0.14525166247933094
JON,2009,2010,1,TT,-0.321030583539891,1.0936556397439867,0.5009683682598721
JON,2009,2010,1,HW,-0.3730469373026882,1.0286606550587487,0.4915347968079048
JON,2009,2010,1,SF,-0.7488672062968862,0.41019990132864936,0.5058759790379979
JON,2009,2010,1,TMA,-0.2665911115913612,1.0574306194079532,0.48187578760462096
JON,2009,2010,1,TDR,-1.3752585685497192,1.126694966552721,0.3605768209225548
JON,2009,2010,1,sg_rich,-0.3670205502132665,1.0194001831490902,0.47870822062654833
JON,2009,2011,2,TT,2.4358481800014498,0.5126528555371931,0.13041493858510358
JON,2009,2011,2,HW,2.03821197754617,0.6031556047226277,0.128893233682421
JON,2009,2011,2,SF,1.9340902331781935,0.5822159264552982,0.15297753934753958
JON,2009,2011,2,TMA,1.372261050512654,0.597428584093854,0.1872395213430069
JON,2009,2011,2,TDR,-0.09853251336184489,0.48265938766047534,0.543316455155543
JON,2009,2011,2,sg_rich,1.9977106730579581,0.6111642264152047,0.13345286294868305
JON,2009,2012,3,TT,3.5065522410067875,0.9553862919849898,0.04309672262023769
JON,2009,2012,3,HW,3.4956635956116693,1.0198452822344442,0.0401070128093611
JON,2009,2012,3,SF,3.493557839671408,1.005377067862997,0.04015607572856712
JON,2009,2012,3,TMA,2.265656817193341,1.014306512316465,0.09556560456618855
JON,2009,2012,3,TDR,0.22383061897967785,0.31226969925487347,0.5382471870681542
JON,2009,2012,3,sg_rich,3.1526951050595433,0.9520364205098741,0.04942483362971112
JON,2009,2013,4,TT,3.378816159263891,1.017733776655991,0.037701469182726155
JON,2009,2013,4,HW,2.9336717765561655,1.1013927735756062,0.04363026583016092
JON,2009,2013,4,SF,3.48540755814387,1.0930475589248863,0.03861873226871259
JON,2009,2013,4,TMA,1.4394425533138522,0.9729536456451885,0.10863058505278617
JON,2009,2013,4,TDR,-0.22490594859629978,0.3911390245125454,0.3692382500786307
JON,2009,2013,4,sg_rich,2.9333505452249007,1.057406660289662,0.04632670306847782
JON,2009,2014,5,TT,-0.22022068291102911,0.5928871351916165,0.5183981754139478
JON,2009,2014,5,HW,-0.026954290273819258,0.7494800791780288,0.525215298564645
JON,2009,2014,5,SF,0.13805479456946426,0.48463805944469157,0.5623749506415366
JON,2009,2014,5,TMA,-0.7716846530371579,0.7244663010832582,0.5024670150848549
JON,2009,2014,5,TDR,-0.8294613999257394,0.6392024802827404,0.5256596039126044
JON,2009,2014,5,sg_rich,-0.41372079794413325,0.7612916183935523,0.517943962662452
JON,2009,2015,6,TT,-0.5974724529978008,0.9917068733989994,0.20343616108891263
JON,2009,2015,6,HW,-0.2422038018216975,1.0070312832080894,0.21890377964874128
JON,2009,2015,6,SF,0.2934256826447848,0.5288835276283378,0.2716018303664121
JON,2009,2015,6,TMA,-1.0856967918015261,1.0401281046514081,0.17263132072123888
JON,2009,2015,6,TDR,-2.463413500681576,0.9494023445897399,0.13422752708584282
JON,2009,2015,6,sg_rich,-0.6625812946255218,0.9363507687600349,0.20533744424384587
JON,2009,2016,7,TT,4.452656239183191,2.8057529745408956,0.009719925155430338
JON,2009,2016,7,HW,4.843979356990402,2.9480497382599564,0.008824097427235925
JON,2009,2016,7,SF,5.862870910963433,2.6257692430828357,0.005124825090869851
JON,2009,2016,7,TMA,2.884966350852397,2.7887623473205525,0.0323288492439582
JON,2009,2016,7,TDR,1.0033144599832966,2.0509129300327933,0.17905270196323242
JON,2009,2016,7,sg_rich,4.084718313908542,2.574243172000356,0.012439082285467744
JON,2009,2017,8,TT,5.311678589031296,2.466457532750934,0.006403587293739099
JON,2009,2017,8,HW,3.990029536541651,2.489229453790142,0.01852956817853453
JON,2009,2017,8,SF,6.4990712756777596,2.354795846904819,0.0027904964155307907
JON,2009,2017,8,TMA,3.372488963748018,2.5207266182430503,0.03046098730945525
