BASIN,y1,y2,ychange,lsr,dist_cent,jaccard,sorensen,uniq_y1,uniq_y2
JON,2013,2015,2,-3.692454943162145,1.3665391804434588,0.017342119999106665,0.03409299518459315,0.9825288609862197,0.2986512524084779
JON,2013,2016,3,1.8726938061278549,2.38272577778414,0.0714923608879016,0.13344446213066577,0.49919639987142395,0.9230219587672257
JON,2013,2017,4,2.573901318829861,2.5391693350641016,0.03484471469316844,0.06734288574590613,0.5246636771300448,0.963761529236683
JON,2013,2018,5,1.1659264893001304,2.838323469935968,0.04344026814742483,0.08326354554928346,0.8247762600094206,0.9453943595559208
JON,2013,2019,6,0.431293924210741,2.819753516074703,0.015943591171768426,0.03138676460054128,0.9601506118606841,0.974111130512673
JON,2013,2021,8,2.953326123394787,3.3514483291790818,6.678626935504072e-4,0.0013348339013360257,0.9865384615384616,0.9992977666388688
JON,2013,2022,9,3.3483508089207588,3.153045257053876,0.006245545612622032,0.012413561759062738,0.817174515235457,0.9935750987966349
JON,2013,2023,10,1.040485549736025,3.9416907300520596,0.010993962750093131,0.021748819785604834,0.9583445825352025,0.985283844828389
JON,2014,2015,1,-0.481682555778618,0.826709697984742,0.21041697102844648,0.3476768354456613,0.7187740940632228,0.5447526772083506
JON,2014,2016,2,5.083466193511382,2.8352281067148786,0.004753525469419527,0.009462072735099261,0.23199999999999998,0.9952396388384689
JON,2014,2017,3,5.784673706213388,2.71267890434136,0.0026268697534960464,0.005239974775744606,0.1451612903225806,0.9973719579499464
JON,2014,2018,4,4.376698876683657,2.925280912070676,0.005655452939082787,0.011247297317494612,0.546875,0.9943056802155852
JON,2014,2019,5,3.642066311594268,2.9419632691891664,0.002939022363497644,0.005860819646984374,0.8852140077821011,0.9969928188473546
JON,2014,2021,7,6.164098510778314,4.007612811823823,0,0,1,1
JON,2014,2022,8,6.559123196304285,3.8943100690036534,2.928696715792691e-4,5.855678480951792e-4,0.7931034482758621,0.9997068011637411
JON,2014,2023,9,4.251257937119552,4.501987107522201,0.002631935572013841,0.005250053341882213,0.8131147540983606,0.9973375764071845
JON,2015,2016,1,5.56514874929,2.239996913872183,0.003629379362378312,0.007232509205109389,0.05194805194805202,0.9963698987190095
JON,2015,2017,2,6.266356261992006,2.0925240265688188,0.0017990016033111694,0.0035915420167758,0.05263157894736845,0.998200818578341
JON,2015,2018,3,4.858381432462275,2.2935017144789396,0.0060330035344433874,0.011993649340027515,0.2215189873417721,0.9939566217478132
JON,2015,2019,4,4.1237488673728855,2.189476868467796,0.006065331645316982,0.012057530370115732,0.6214511041009464,0.9938736669074391
JON,2015,2021,6,6.645781066556932,3.500561430465741,2.0769217358870625e-4,4.152980930137872e-4,0.84,0.9997920811150042
JON,2015,2022,7,7.040805752082904,3.463919362737395,6.177851034975604e-4,0.0012348073614015576,0.29411764705882354,0.9993820558312098
JON,2015,2023,8,4.7329404928981695,4.4007961682548125,0.0028852925266684214,0.0057539831288166915,0.6702127659574468,0.9970976893131349
JON,2016,2017,1,0.701207512702006,1.6844080253877103,0.17611566656952463,0.2994869834243701,0.5483458054352107,0.7759858279234145
JON,2016,2018,2,-0.7067673168277244,1.9663870406335195,0.13338890687281305,0.23538064659703206,0.8242605607411693,0.6437011816543161
JON,2016,2019,3,-1.4413998819171139,1.8377831275960896,0.11678400033786049,0.20914339801166537,0.8706870218500936,0.45344467640918584
JON,2016,2021,5,1.0806323172669319,2.387745714591278,0.05562131477318624,0.10538118924803483,0.7920543494313986,0.9294272259845204
JON,2016,2022,6,1.475657002792904,2.6295747560827665,0.04292036592633951,0.08230804063015285,0.7788420604512558,0.9494369990621454
JON,2016,2023,7,-0.8322082563918299,4.917581934392093,0.00773521115446622,0.015351673869973693,0.9889845028224195,0.9746821071752952
JON,2017,2018,1,-1.4079748295297305,0.5300550261655603,0.19941514021139367,0.33252063197442594,0.79306605693247,0.15412257935715712
JON,2017,2019,2,-2.14260739461912,0.8249243745412997,0.10391954653639006,0.18827376843257013,0.8948162964495744,0.10366361365528727
JON,2017,2021,4,0.37942480456492583,1.7945649265820365,0.18855691998019547,0.31728715185695494,0.6095077644301201,0.7328037836452146
JON,2017,2022,5,0.7744494900908979,1.948483967511699,0.1399947455952819,0.24560594886282483,0.6107885569513355,0.8205900768200164
JON,2017,2023,6,-1.533415769093836,4.040786886911995,0.023310390672114996,0.04555878819290523,0.972304874315625,0.8716613852421911
JON,2018,2019,1,-0.7346325650893895,0.8035608901924047,0.2991594722466312,0.46054311058410086,0.6592713985793037,0.2896776825785394
JON,2018,2021,3,1.7873996340946563,1.7866444504699475,0.07052275273705179,0.13175386054475388,0.5405810122791255,0.9230956080879492
JON,2018,2022,4,2.1824243196206283,2.009172871730883,0.0524773862856826,0.0997216414708567,0.5079844626672422,0.9445164835178368
JON,2018,2023,5,-0.12544093956410549,4.038947637726102,0.034336685488926946,0.06639363366039004,0.937520010098208,0.9291696710854734
JON,2019,2021,2,2.5220321991840455,2.0903155732390344,0.05378153804327355,0.10207341104711024,0.31335830212234705,0.9448652377556334
JON,2019,2022,3,2.917056884710018,2.292108741449569,0.03677838021293319,0.07094742891027427,0.3087308730873087,0.9626074181765644
JON,2019,2023,4,0.609191625525284,4.1619073275684695,0.032581803984901146,0.06310745329650912,0.9104207294123922,0.9512876635775159
JON,2021,2022,1,0.3950246855259721,0.6104811592983922,0.3979543896029827,0.5693381594745752,0.2927622074544929,0.523559777482314
JON,2021,2023,2,-1.9128405736587617,3.662033222164734,0.033911021789921524,0.06559756318530056,0.9623581388310978,0.7450780719619824
JON,2022,2023,1,-2.3078652591847337,3.1633901741545154,0.055256587589746976,0.10472635421486538,0.9424280809431946,0.42123287671232873
RAN,2007,2008,1,-1.6198855481580068,1.140776393144818,0.10670819595438598,0.19283890070474197,0.8844970818434804,0.41642011834319526
RAN,2007,2009,2,0.8550931199234328,1.0780651154584755,0.12323909386235851,0.2194351933364246,0.6322712325660506,0.843625698573921
RAN,2007,2010,3,-2.273773130952906,0.7234610918054888,0.07409334519443768,0.13796444326917404,0.9239179139817294,0.2607871028923661
RAN,2007,2011,4,-2.438314705948811,0.8383053752228051,0.07038292377974918,0.13150980311085708,0.9285041782466925,0.18110676355505875
RAN,2007,2012,5,-3.3352011701998006,1.408792197422609,0.019964151536658564,0.039146771004806305,0.9797296566934175,0.4307270233196159
RAN,2007,2013,6,-1.1080965121727573,1.2218817081681121,0.10084640476693324,0.18321612230415385,0.8781441598725721,0.6309488619568431
RAN,2007,2014,7,-2.505406713526275,1.425794196282487,0.04893329498610069,0.09330106160229969,0.9495408085481878,0.38194859533771663
RAN,2007,2015,8,-5.90695742109805,2.2773162121372206,0.001729485504510158,0.0034529990971347347,0.998268803593152,0.36363636363636365
RAN,2007,2016,9,-8.111283633704074,2.463734066406589,5.000971943152497e-5,1.0001443716910801e-4,0.9999499777725808,0.8333333333333333
RAN,2007,2017,10,-7.185567208114412,2.342401790375421,0,0,1,1
RAN,2007,2018,11,-7.183720501823146,2.4417735749797718,1.0111207863216311e-4,2.0220371202669604e-4,0.9998988214239228,0.8666666666666666
RAN,2007,2019,12,-5.842079599212287,2.1266942816852414,2.4534813242420994e-4,4.905759029668146e-4,0.9997540000267284,0.9152542372881356
RAN,2007,2021,14,-0.4330949127676947,2.263494220726486,0.04111106032016488,0.07897535985742445,0.9349046015712683,0.8996214263295734
RAN,2007,2022,15,-8.794843842822106,2.2181535840459254,0,0,1,1
RAN,2007,2023,16,-3.590277100734576,1.8577775840391162,0.0066013147474332685,0.01311604634470323,0.9932610364828643,0.7557522123893806
RAN,2008,2009,1,2.4749786680814396,0.8514892591750397,0.07447370098727725,0.13862359017041978,0.1071633237822349,0.9248545925395
RAN,2008,2010,2,-0.6538875827948997,0.8844939663444341,0.19525620064696403,0.3267185738777618,0.7516905806642054,0.5225004536381782
RAN,2008,2011,3,-0.8184291577908045,0.9610870255186196,0.17579683674895186,0.29902587122963453,0.7845333131753865,0.5115508021390375
RAN,2008,2012,4,-1.715315622041794,0.6792343737303086,0.08711796532755796,0.16027325112101992,0.9054462402217391,0.4744295830055075
RAN,2008,2013,5,0.5117890359852493,0.6149422901235276,0.24078240716847393,0.38811383168778346,0.4822031462644248,0.6896210547145543
RAN,2008,2014,6,-0.8855211653682683,0.9716177806292167,0.16499212720170126,0.2832502011803472,0.7999546676410304,0.5150406039117008
RAN,2008,2015,7,-4.287071872940044,1.7056909803239257,0.00812620145327588,0.01612139718531561,0.9918285061873152,0.40549828178694153
RAN,2008,2016,8,-6.491398085546068,1.9358803452696813,3.3132597548557387e-4,6.624324698868692e-4,0.9996682814996727,0.7812499999999999
RAN,2008,2017,9,-5.565681659956405,2.510896932988798,1.883011835652928e-4,3.7653146580992404e-4,0.9998110137796019,0.9506172839506174
RAN,2008,2018,10,-5.56383495366514,2.7956344790126013,4.71553226485601e-5,9.430619825791359e-5,0.9999526661137772,0.9876543209876544
RAN,2008,2019,11,-4.22219405105428,1.80442379642981,6.532073509522928e-4,0.001305561899274856,0.9993376450840759,0.9548387096774192
RAN,2008,2021,13,1.186790635390312,1.8332912333446425,0.10049551916000729,0.18263685296367968,0.6094723041625697,0.8808112637744846
RAN,2008,2022,14,-7.174958294664099,1.6221252132100308,1.912695957129206e-4,3.824660373015126e-4,0.9998086205890994,0.75
RAN,2008,2023,15,-1.9703915525765696,1.6128884979845342,0.03880826127232045,0.07471688995770699,0.9574337032783499,0.6946513202437373
RAN,2009,2010,1,-3.1288662508763387,0.8696527573557307,0.04105463490757931,0.07887123985807715,0.9588383858988533,0.05953693495038586
RAN,2009,2011,2,-3.293407825872244,0.9459726006861275,0.036028118530281886,0.0695504646754022,0.9639336637568615,0.028571428571428532
RAN,2009,2012,3,-4.190294290123234,1.1745364421219795,0.01109496325186669,0.021946431651055316,0.9888606296264436,0.26433121019108285
RAN,2009,2013,4,-1.9631896320961901,0.6756109139806274,0.1142451407703476,0.20506284764475213,0.8830721543231782,0.16723901098901098
RAN,2009,2014,5,-3.360499833449708,1.1903359110008394,0.026648702246425637,0.05191396470499638,0.9731418456925411,0.22638888888888892
RAN,2009,2015,6,-6.762050541021483,2.0789225587350546,6.535455973434047e-4,0.001306237508913774,0.9993461256821322,0.4347826086956522
RAN,2009,2016,7,-8.966376753627507,2.135490498467724,6.381082271004934e-5,1.2761350229752817e-4,0.9999361851052091,0.5
RAN,2009,2017,8,-8.040660328037845,2.4157641883696988,5.3668293161946204e-5,1.0733082606165402e-4,0.999946317301544,0.8333333333333335
RAN,2009,2018,9,-8.038813621746579,2.6910146982498193,0,0,1,1
RAN,2009,2019,10,-6.697172719135719,1.7067726658257496,1.4796690336836823e-4,2.9589002480602837e-4,0.9998518723647234,0.8799999999999999
RAN,2009,2021,12,-1.2881880326911275,1.8788712461914194,0.07104602995105921,0.13266662302890123,0.9153739500474541,0.6931281692603601
RAN,2009,2022,13,-9.649936962745539,1.8982725549547412,0,0,1,1
RAN,2009,2023,14,-4.445370220658009,1.6836026659993801,0.005132574735702051,0.010212731861867384,0.9948337222953848,0.5596707818930041
RAN,2010,2011,1,-0.16454157499590505,0.2272435937830883,0.39008133052995075,0.5612352629485892,0.48133934567782793,0.3885755498584507
RAN,2010,2012,2,-1.0614280392468944,1.0661853354864803,0.0856799039436649,0.15783640027311543,0.8937791479961045,0.6929690750242685
RAN,2010,2013,3,1.1656766187801488,0.8495279517115689,0.1624063879332785,0.27943134108550777,0.412063492063492,0.8167333229741116
RAN,2010,2014,4,-0.23163358257336888,1.0509985922389482,0.15438077282360357,0.2674694112341975,0.7601820143703841,0.6976716056849108
