species,i,hv_size_Wet,hv_size_Dry,size_rat,jaccard,sorensen,uniq_Wet,uniq_Dry,dist_cent
Pink shrimp,23,0.9180150828646033,40.93709028067585,44.593047592349414,0,0,1,1,3.8404353148259767
Rainwater killifish,23,6.971855556425492,26.48509303476689,3.7988585420931957,0.09642555874708536,0.17589075332624207,0.577962577962578,0.8889041491382101,1.5945786319078634
Silver perch,23,42.48703504034726,36.78230405033607,0.8657300754313931,0.25060641600488104,0.4007758361027039,0.6261302345385114,0.5681451111939372,1.5299008429917278
Bay anchovy,24,2.682456393223873,26.00497542941394,9.69446343847559,0.03712755641214945,0.07159689506387996,0.6171548117154811,0.9605088831667491,1.5704423033951254
Mojarra,24,0.15973933875477225,16.20301323871691,101.43408233078617,0,0,1,1,3.6175700327377576
Pigfish,24,0.8987082183158511,41.8879459836622,46.60906079412381,0,0,1,1,2.8848365846762283
Pinfish,24,1.802410151762722,15.982084768956007,8.867063222721997,0,0,1,1,3.4231677775947813
Pink shrimp,24,0.9450439197684036,22.653450599149547,23.970791330736347,0,0,1,1,3.966166570554642
Rainwater killifish,24,4.103917907594511,34.0719082706574,8.302287969163707,0.04303115150845407,0.08251172833375396,0.6162260711030082,0.953774919597778,1.842552918752825
Silver perch,24,44.76447713727646,28.14351120613015,0.6287018860920498,0.2036043553696896,0.3383243911694755,0.7244852129956655,0.5617719731733145,1.4465260008775527
Bay anchovy,25,2.9808635031326105,26.9281914225322,9.033688189423358,0.09507484108610632,0.17364080977663615,0.1288711288711289,0.9035688577176276,1.899695000377084
Mojarra,25,0.08029394334015404,14.516977976279298,180.7979203958156,0,0,1,1,3.7153184046299086
Pigfish,25,0.8643810571518539,40.37961681957875,46.71506447935136,0,0,1,1,2.9954147042617114
Pinfish,25,2.4413222298759756,20.527902766938535,8.408518349493502,0,0,1,1,3.27879773801757
Pink shrimp,25,0.8763480719634504,36.52823482670405,41.68233604355727,0,0,1,1,3.93874142037807
Rainwater killifish,25,6.551595534441453,33.628371570213794,5.132852202708624,0.061033145740752456,0.11504474857501763,0.6472237801458216,0.9312709180155203,1.773275956456503
Silver perch,25,19.31659692441343,26.725808619802983,1.3835671326777732,0.263636000152143,0.41726573177782367,0.5027095580708201,0.6405736807532297,1.164014175237969
Bay anchovy,26,3.0099712824372635,36.117123920808886,11.999158972561284,0.07051155000090512,0.13173430964074231,0.14378238341968902,0.9286435308892698,1.480485732951736
Mojarra,26,0.14156430189921682,23.15689530706867,163.57863526607608,0,0,1,1,3.663720577699611
Pigfish,26,0.7364477580355101,43.76964894831512,59.43347436493198,0,0,1,1,2.7943729317849244
Pinfish,26,1.395887315941381,22.297208420775565,15.973501704712042,0,0,1,1,3.3924033497506425
Pink shrimp,26,0.9270165163741922,37.0573456124674,39.9748493774507,0,0,1,1,4.00795885271238
Rainwater killifish,26,5.70668073294588,22.218865397577282,3.8934831712773157,0.030850227263524623,0.05985394666967101,0.8535528596187175,0.9623865998801175,1.7174063169368095
Silver perch,26,32.670833407349974,29.79139145058699,0.9118650595513981,0.22961360367480319,0.37347277712052585,0.6429852233648199,0.6084784992081862,1.2869062907967488
Bay anchovy,27,3.376113111071632,37.972926883610135,11.247528040183738,0.055932616155979414,0.10593974520759987,0.3512499999999999,0.9423206594655973,1.7664997767955595
Mojarra,27,0.1437436082795847,15.255547110764013,106.13026410949428,0,0,1,1,3.5823304463924353
Pigfish,27,0.6136049262041359,47.218603187418786,76.9527772202239,0,0,1,1,2.928961180580817
Pinfish,27,1.0337203162726936,26.53589625193559,25.670286086295192,0,0,1,1,3.5140255218634118
Pink shrimp,27,0.8331863270701634,39.307807627136846,47.1776916519499,0,0,1,1,3.828721614339112
Rainwater killifish,27,3.6359579462864926,33.40681962424709,9.18790044267878,0.03082549138784465,0.05980739057266223,0.6953441295546559,0.9668416225941907,1.8490812899840976
Silver perch,27,52.38245297407978,28.113850774196845,0.5367035940090151,0.25444575736177993,0.4056704020377953,0.6883024176027189,0.41923701298701305,1.067098475110816
Bay anchovy,28,1.8303569565690525,37.02966366562068,20.230842695859522,0.019501503910192716,0.038256939956236864,0.593886462882096,0.9799260197302102,2.093087582349356
Mojarra,28,0.13035487725360398,22.073874630442845,169.33677584996198,0,0,1,1,3.5349954006117565
Pigfish,28,0.7165587089646099,53.39526961874706,74.51625240296143,0,0,1,1,2.9528727289659984
Pinfish,28,1.055088781214659,20.041374582371283,18.994965105494607,0,0,1,1,3.3880029551531563
Pink shrimp,28,1.0187617406526366,46.71504506976795,45.85473050827515,0,0,1,1,3.9180979143755557
Rainwater killifish,28,6.864963623484334,26.06531491682336,3.7968613304310312,0.12070728845737148,0.2154126946448655,0.4833475874870484,0.863926446727961,1.431106410274844
